detector,experiment_id,node_id,injection_type,expected_metric,duration_seconds,detected,detection_delay_seconds,recovered,recovery_delay_seconds,peak_metric_value,first_fire_score,first_fire_metric,first_fire_samples_in_window,first_fire_detail
ewma,jp-lisahost-20260422T105208Z-mem,jp-lisahost,memory_stress,memory_percent,30,true,327,true,327,60.08,60.3053,memory_percent,11,Memory EWMA deviation ≥ 3.0σ (value 60.31)
ewma,jp-lisahost-20260422T105632Z-mem,jp-lisahost,memory_stress,memory_percent,60,true,63,true,33,59.98,60.3053,memory_percent,3,Memory EWMA deviation ≥ 3.0σ (value 60.31)
ewma,jp-lisahost-20260422T110123Z-mem,jp-lisahost,memory_stress,memory_percent,60,false,0,false,0,60.16,0.0000,,0,
ewma,jp-lisahost-20260422T110616Z-mem,jp-lisahost,memory_stress,memory_percent,60,false,0,false,0,60.19,0.0000,,0,
ewma,jp-lisahost-20260422T111110Z-mem,jp-lisahost,memory_stress,memory_percent,150,false,0,false,0,60.47,0.0000,,0,
ewma,jp-lisahost-20260422T111737Z-mem,jp-lisahost,memory_stress,memory_percent,150,false,0,false,0,60.38,0.0000,,0,
ewma,jp-lisahost-20260422T112403Z-mem,jp-lisahost,memory_stress,memory_percent,150,false,0,false,0,60.41,0.0000,,0,
ewma,jp-lisahost-20260422T113040Z-mem,jp-lisahost,memory_stress,memory_percent,300,false,0,false,0,60.50,0.0000,,0,
ewma,jp-lisahost-20260422T113947Z-mem,jp-lisahost,memory_stress,memory_percent,300,false,0,false,0,60.35,0.0000,,0,
ewma,jp-lisahost-20260422T114826Z-mem,jp-lisahost,memory_stress,memory_percent,300,false,0,false,0,60.33,0.0000,,0,
cusum,jp-lisahost-20260421T045458Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,57,true,27,100.00,68.1236,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260421T062448Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,67,true,37,100.00,67.4491,multivariate,3,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260421T153933Z-cpu,jp-lisahost,cpu_stress,cpu_percent,90,true,37,true,37,100.00,67.4491,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T072230Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,false,0,true,815,8.91,0.0000,,0,
cusum,jp-lisahost-20260422T072646Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,false,0,true,559,100.00,0.0000,,0,
cusum,jp-lisahost-20260422T073103Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,true,302,true,302,4.00,134.2237,multivariate,11,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T073520Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,45,true,15,100.00,134.2237,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T074007Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,58,true,28,100.00,129.5022,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T074502Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,63,true,33,100.00,134.2237,multivariate,3,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T074952Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,43,true,13,100.00,131.8207,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T075618Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,47,true,17,100.00,129.5022,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T080241Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,54,true,24,100.00,129.5022,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T080907Z-cpu,jp-lisahost,cpu_stress,cpu_percent,300,true,58,true,28,100.00,129.5022,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T081809Z-cpu,jp-lisahost,cpu_stress,cpu_percent,300,true,56,true,26,100.00,129.5022,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T082712Z-cpu,jp-lisahost,cpu_stress,cpu_percent,300,true,53,true,23,100.00,65.9044,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T103623Z-mem,jp-lisahost,memory_stress,memory_percent,30,true,42,true,42,40.78,122.6890,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T103849Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,false,0,60.13,0.0000,,0,
cusum,jp-lisahost-20260422T104043Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,false,0,60.17,0.0000,,0,
cusum,jp-lisahost-20260422T104318Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,true,857,59.88,0.0000,,0,
cusum,jp-lisahost-20260422T104742Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,true,593,59.86,0.0000,,0,
cusum,jp-lisahost-20260422T105208Z-mem,jp-lisahost,memory_stress,memory_percent,30,true,327,true,327,60.08,113.7032,multivariate,11,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T105632Z-mem,jp-lisahost,memory_stress,memory_percent,60,true,63,true,33,59.98,113.7032,multivariate,3,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T110123Z-mem,jp-lisahost,memory_stress,memory_percent,60,true,42,true,12,60.16,104.6997,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T110616Z-mem,jp-lisahost,memory_stress,memory_percent,60,true,49,true,19,60.19,90.1511,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T111110Z-mem,jp-lisahost,memory_stress,memory_percent,150,true,55,true,25,60.47,83.6525,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T111737Z-mem,jp-lisahost,memory_stress,memory_percent,150,true,58,true,28,60.38,92.7952,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T112403Z-mem,jp-lisahost,memory_stress,memory_percent,150,true,62,true,32,60.41,82.0795,multivariate,3,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T113040Z-mem,jp-lisahost,memory_stress,memory_percent,300,true,55,true,25,60.50,69.6788,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T113947Z-mem,jp-lisahost,memory_stress,memory_percent,300,true,48,true,18,60.35,54.0919,multivariate,2,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
cusum,jp-lisahost-20260422T114826Z-mem,jp-lisahost,memory_stress,memory_percent,300,true,69,true,39,60.33,41.7646,multivariate,3,CUSUM crossed H=5.0 on 1 metric(s); K=0.50
mahalanobis,jp-lisahost-20260421T045458Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,57,true,27,100.00,70.8176,multivariate,2,multivariate composite z=70.82 across 1 metric(s)
mahalanobis,jp-lisahost-20260421T062448Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,67,true,37,100.00,67.4500,multivariate,3,multivariate composite z=67.45 across 1 metric(s)
mahalanobis,jp-lisahost-20260421T153933Z-cpu,jp-lisahost,cpu_stress,cpu_percent,90,true,37,true,37,100.00,67.4500,multivariate,2,multivariate composite z=67.45 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T072230Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,false,0,true,815,8.91,0.0000,,0,
mahalanobis,jp-lisahost-20260422T072646Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,false,0,true,559,100.00,0.0000,,0,
mahalanobis,jp-lisahost-20260422T073103Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,true,302,true,302,4.00,131.8225,multivariate,11,multivariate composite z=131.82 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T073520Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,45,true,15,100.00,131.8225,multivariate,2,multivariate composite z=131.82 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T074007Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,58,true,28,100.00,129.5040,multivariate,2,multivariate composite z=129.50 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T074502Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,63,true,33,100.00,131.8225,multivariate,3,multivariate composite z=131.82 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T074952Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,43,true,13,100.00,129.5040,multivariate,2,multivariate composite z=129.50 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T075618Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,47,true,17,100.00,129.5040,multivariate,2,multivariate composite z=129.50 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T080241Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,54,true,24,100.00,129.5040,multivariate,2,multivariate composite z=129.50 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T080907Z-cpu,jp-lisahost,cpu_stress,cpu_percent,300,true,58,true,28,100.00,129.5040,multivariate,2,multivariate composite z=129.50 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T081809Z-cpu,jp-lisahost,cpu_stress,cpu_percent,300,true,56,true,26,100.00,129.5040,multivariate,2,multivariate composite z=129.50 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T082712Z-cpu,jp-lisahost,cpu_stress,cpu_percent,300,true,53,true,23,100.00,129.5040,multivariate,2,multivariate composite z=129.50 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T103623Z-mem,jp-lisahost,memory_stress,memory_percent,30,true,42,true,42,40.78,150.2929,multivariate,2,multivariate composite z=150.29 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T103849Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,false,0,60.13,0.0000,,0,
mahalanobis,jp-lisahost-20260422T104043Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,false,0,60.17,0.0000,,0,
mahalanobis,jp-lisahost-20260422T104318Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,true,857,59.88,0.0000,,0,
mahalanobis,jp-lisahost-20260422T104742Z-mem,jp-lisahost,memory_stress,memory_percent,30,false,0,true,593,59.86,0.0000,,0,
mahalanobis,jp-lisahost-20260422T105208Z-mem,jp-lisahost,memory_stress,memory_percent,30,true,327,true,327,60.08,132.9677,multivariate,11,multivariate composite z=132.97 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T105632Z-mem,jp-lisahost,memory_stress,memory_percent,60,true,63,true,33,59.98,132.9677,multivariate,3,multivariate composite z=132.97 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T110123Z-mem,jp-lisahost,memory_stress,memory_percent,60,true,42,true,12,60.16,134.3749,multivariate,2,multivariate composite z=134.37 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T110616Z-mem,jp-lisahost,memory_stress,memory_percent,60,true,49,true,19,60.19,134.4825,multivariate,2,multivariate composite z=134.48 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T111110Z-mem,jp-lisahost,memory_stress,memory_percent,150,true,55,true,25,60.47,131.5807,multivariate,2,multivariate composite z=131.58 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T111737Z-mem,jp-lisahost,memory_stress,memory_percent,150,true,58,true,28,60.38,122.2994,multivariate,2,multivariate composite z=122.30 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T112403Z-mem,jp-lisahost,memory_stress,memory_percent,150,true,62,true,32,60.41,109.5245,multivariate,3,multivariate composite z=109.52 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T113040Z-mem,jp-lisahost,memory_stress,memory_percent,300,true,55,true,25,60.50,95.0933,multivariate,2,multivariate composite z=95.09 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T113947Z-mem,jp-lisahost,memory_stress,memory_percent,300,true,48,true,18,60.35,79.5733,multivariate,2,multivariate composite z=79.57 across 1 metric(s)
mahalanobis,jp-lisahost-20260422T114826Z-mem,jp-lisahost,memory_stress,memory_percent,300,true,69,true,39,60.33,71.4830,multivariate,3,multivariate composite z=71.48 across 1 metric(s)
mcd_mahalanobis,jp-lisahost-20260421T045458Z-cpu,jp-lisahost,cpu_stress,cpu_percent,150,true,57,true,27,100.00,128.5084,multivariate,2,MCD Mahalanobis d=128.51 (threshold 4.20) across 1 dimension(s)
mcd_mahalanobis,jp-lisahost-20260421T062448Z-cpu,jp-lisahost,cpu_stress,cpu_percent,60,true,67,true,37,100.00,114.4937,multivariate,3,MCD Mahalanobis d=114.49 (threshold 4.20) across 1 dimension(s)
mcd_mahalanobis,jp-lisahost-20260421T153933Z-cpu,jp-lisahost,cpu_stress,cpu_percent,90,true,37,true,37,100.00,173.5579,multivariate,2,MCD Mahalanobis d=173.56 (threshold 4.20) across 1 dimension(s)
mcd_mahalanobis,jp-lisahost-20260422T072230Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,false,0,true,815,8.91,0.0000,,0,
mcd_mahalanobis,jp-lisahost-20260422T072646Z-cpu,jp-lisahost,cpu_stress,cpu_percent,30,false,0,true,559,100.00,0.0000,,0,
